"","X","grp.recording","female.id","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","duty.cycle","note.dur.comb","rest.dur.comb","num.notes","intro.dur","trill.dur"
"398",28696,"SAFL_06_024","SAFL_06","SAFL_06_024.04",4,0.592,150.7,581.4,732.1,0.72,150.7,581.4,732.1,0.697,150.7,602.9,753.7,0.575,172.3,602.9,775.2,0.441,150.7,602.9,753.7,0.337,172.3,602.9,775.2,0.768818803927402,2.584,3.361,95,12.936,7.848
"399",28791,"SAFL_06_024","SAFL_06","SAFL_06_024.06",6,0.61,215.3,559.9,775.2,0.966,150.7,581.4,732.1,0.737,150.7,602.9,753.7,0.61,150.7,602.9,753.7,0.464,150.7,602.9,753.7,0.401,172.3,602.9,775.2,0.81625244345155,2.923,3.581,98,13.933,7.605
"400",28889,"SAFL_06_024","SAFL_06","SAFL_06_024.07",7,0.651,150.7,581.4,732.1,0.807,150.7,581.4,732.1,0.708,129.2,602.9,732.1,0.639,107.7,602.9,710.6,0.476,107.7,602.9,710.6,0.354,107.7,602.9,710.6,0.780467445742905,2.805,3.594,124,15.041,10.612
"401",29013,"SAFL_06_024","SAFL_06","SAFL_06_024.08",8,0.644,172.3,559.9,732.1,0.801,129.2,581.4,710.6,0.778,129.2,602.9,732.1,0.702,150.7,602.9,753.7,0.604,150.7,602.9,753.7,0.505,129.2,602.9,732.1,0.790968090859924,2.925,3.698,109,15.59,7.895
"423",30597,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.01",1,0.95,172.3,581.4,753.7,0.638,193.8,646,839.8,0.592,193.8,646,839.8,0.452,258.4,646,904.4,0.308,258.4,667.5,925.9,0.22,258.4,689.1,947.5,0.784968684759916,2.632,3.353,68,8.189,4.093
"424",30665,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.02",2,0.778,172.3,602.9,775.2,0.801,215.3,624.5,839.8,0.534,236.9,646,882.9,0.406,236.9,667.5,904.4,0.284,279.9,689.1,969,0.238,344.5,710.6,1055.1,0.756002400960384,2.519,3.332,70,8.18,4.307
"425",30735,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.03",3,0.935,172.3,602.9,775.2,0.853,172.3,646,818.3,0.586,193.8,667.5,861.3,0.441,279.9,667.5,947.5,0.337,301.5,689.1,990.5,0.244,344.5,710.6,1055.1,0.800170551449687,2.815,3.518,72,8.701,4.447
"426",30807,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.04",4,0.929,150.7,602.9,753.7,0.975,172.3,646,818.3,0.522,215.3,646,861.3,0.424,258.4,667.5,925.9,0.279,236.9,689.1,925.9,0.25,279.9,710.6,990.5,0.814285714285714,2.85,3.5,77,9.154,4.348
"427",30884,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.05",5,0.917,129.2,602.9,732.1,0.882,172.3,646,818.3,0.58,172.3,667.5,839.8,0.464,215.3,667.5,882.9,0.308,215.3,689.1,904.4,0.273,258.4,689.1,947.5,0.793912314995811,2.843,3.581,83,9.847,4.383
"428",30967,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.06",6,1.163,150.7,602.9,753.7,0.83,215.3,646,861.3,0.613,236.9,667.5,904.4,0.456,279.9,689.1,969,0.409,301.5,710.6,1012.1,0.186,344.5,710.6,1055.1,0.854591124755791,3.062,3.583,74,9.447,3.881
"429",31041,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.07",7,1.026,150.7,624.5,775.2,0.755,193.8,646,839.8,0.505,215.3,667.5,882.9,0.435,258.4,689.1,947.5,0.319,366.1,689.1,1055.1,0.226,366.1,689.1,1055.1,0.769078575466365,2.721,3.538,71,8.536,4.331
"430",31112,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.08",8,0.981,107.7,624.5,732.1,0.859,150.7,646,796.7,0.563,193.8,667.5,861.3,0.459,236.9,667.5,904.4,0.279,258.4,689.1,947.5,0.215,366.1,710.6,1076.7,0.786263736263736,2.862,3.64,75,9.004,4.51
"431",31187,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.09",9,1.075,150.7,624.5,775.2,0.912,215.3,646,861.3,0.631,236.9,667.5,904.4,0.459,279.9,667.5,947.5,0.342,279.9,689.1,969,0.25,301.5,710.6,1012.1,0.826040268456376,3.077,3.725,75,8.714,4.911
"432",31262,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.10",10,1.039,129.2,624.5,753.7,0.784,150.7,646,796.7,0.557,236.9,667.5,904.4,0.418,258.4,689.1,947.5,0.308,279.9,710.6,990.5,0.232,301.5,710.6,1012.1,0.800572246065808,2.798,3.495,79,9.253,4.377
"433",31341,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.11",11,1.053,172.3,602.9,775.2,1.036,236.9,646,882.9,0.505,258.4,667.5,925.9,0.383,279.9,689.1,969,0.238,323,689.1,1012.1,0.18,366.1,710.6,1076.7,0.813610276031703,2.977,3.659,76,9.684,4.052
"434",31417,"SAFMAT_0A_067","SAFMAT_0A","SAFMAT_0A_067.12",12,1.171,172.3,602.9,775.2,0.807,172.3,646,818.3,0.569,236.9,667.5,904.4,0.441,279.9,689.1,969,0.308,323,689.1,1012.1,0.221,366.1,710.6,1076.7,0.824048538334253,2.988,3.626,68,8.216,4.406
"435",31485,"SAFMAT_0B_036","SAFMAT_0B","SAFMAT_0B_036.01",1,1.063,236.9,646,882.9,0.887,258.4,624.5,882.9,0.522,301.5,646,947.5,0.32,279.9,667.5,947.5,0.267,279.9,689.1,969,0.151,279.9,710.6,990.5,0.78936952219395,2.792,3.537,42,5.004,3.86
"436",31527,"SAFMAT_0B_036","SAFMAT_0B","SAFMAT_0B_036.02",2,0.946,172.3,667.5,839.8,0.726,215.3,646,861.3,0.424,236.9,667.5,904.4,0.226,215.3,710.6,925.9,0.134,236.9,732.1,969,0.111,301.5,732.1,1033.6,0.722014925373134,2.322,3.216,58,6.377,3.286
"437",31585,"SAFMAT_0B_036","SAFMAT_0B","SAFMAT_0B_036.03",3,1.027,150.7,667.5,818.3,0.778,150.7,646,796.7,0.43,215.3,667.5,882.9,0.232,236.9,710.6,947.5,0.145,258.4,732.1,990.5,0.099,279.9,732.1,1012.1,0.754895960832313,2.467,3.268,60,6.487,3.315
"438",31645,"SAFMAT_0B_036","SAFMAT_0B","SAFMAT_0B_036.04",4,0.877,129.2,667.5,796.7,0.859,107.7,646,753.7,0.482,129.2,667.5,796.7,0.273,258.4,689.1,947.5,0.151,279.9,710.6,990.5,0.104,301.5,710.6,1012.1,0.73982773982774,2.491,3.367,62,6.92,3.274
"439",31707,"SAFMAT_0C_003","SAFMAT_0C","SAFMAT_0C_003.01",1,0.347,93.8,609.4,703.1,0.624,93.8,585.9,679.7,0.592,93.8,585.9,679.7,0.507,117.2,585.9,703.1,0.432,187.5,609.4,796.9,0.288,328.1,609.4,937.5,0.699324324324324,2.07,2.96,91,10.125,4.416
"440",31798,"SAFMAT_0C_003","SAFMAT_0C","SAFMAT_0C_003.02",2,0.408,164.1,609.4,773.4,0.62,117.2,585.9,703.1,0.887,117.2,585.9,703.1,0.648,140.6,585.9,726.6,0.445,117.2,609.4,726.6,0.363,164.1,609.4,773.4,0.887772774506408,2.563,2.887,68,7.918,4.325
"441",31866,"SAFMAT_0C_003","SAFMAT_0C","SAFMAT_0C_003.03",3,0.644,93.8,585.9,679.7,0.796,117.2,585.9,703.1,0.68,117.2,585.9,703.1,0.556,281.2,609.4,890.6,0.417,281.2,609.4,890.6,0.155,304.7,632.8,937.5,0.847371754274858,2.676,3.158,69,8.495,3.411
"442",31935,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.02",2,0.733,236.9,667.5,904.4,0.993,193.8,689.1,882.9,0.639,236.9,689.1,925.9,0.441,258.4,710.6,969,0.267,258.4,732.1,990.5,0.209,301.5,732.1,1033.6,0.7625,2.806,3.68,66,8.266,4.47
"443",32001,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.03",3,0.528,193.8,689.1,882.9,0.772,193.8,667.5,861.3,0.862,215.3,689.1,904.4,0.488,215.3,710.6,925.9,0.331,236.9,710.6,947.5,0.226,258.4,732.1,990.5,0.745848578665916,2.65,3.553,68,8.505,4.499
"444",32069,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.04",4,0.522,172.3,689.1,861.3,0.749,150.7,689.1,839.8,0.743,150.7,689.1,839.8,0.499,215.3,710.6,925.9,0.342,236.9,732.1,969,0.238,301.5,732.1,1033.6,0.727562246670527,2.513,3.454,71,8.847,4.429
"445",32140,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.05",5,0.557,215.3,689.1,904.4,0.737,215.3,689.1,904.4,0.702,215.3,710.6,925.9,0.493,279.9,732.1,1012.1,0.331,279.9,753.7,1033.6,0.232,301.5,753.7,1055.1,0.711142857142857,2.489,3.5,62,7.787,4.528
"446",32202,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.06",6,0.534,193.8,667.5,861.3,0.795,172.3,689.1,861.3,0.714,236.9,689.1,925.9,0.459,301.5,710.6,1012.1,0.308,258.4,753.7,1012.1,0.186,323,753.7,1076.7,0.725638051044084,2.502,3.448,73,9.511,3.93
"447",32275,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.07",7,0.546,150.7,689.1,839.8,0.749,107.7,689.1,796.7,0.662,193.8,689.1,882.9,0.482,258.4,710.6,969,0.319,258.4,732.1,990.5,0.221,279.9,732.1,1012.1,0.704913294797688,2.439,3.46,61,7.686,4.441
"448",32336,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.08",8,0.644,129.2,689.1,818.3,0.795,129.2,689.1,818.3,0.61,215.3,710.6,925.9,0.406,279.9,710.6,990.5,0.255,301.5,732.1,1033.6,0.18,301.5,753.7,1055.1,0.725472813238771,2.455,3.384,72,9.456,3.675
"449",32408,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.09",9,0.569,107.7,689.1,796.7,0.795,107.7,689.1,796.7,0.72,129.2,689.1,818.3,0.482,236.9,710.6,947.5,0.348,258.4,710.6,969,0.25,301.5,732.1,1033.6,0.727118163785775,2.566,3.529,67,8.527,4.51
"450",32475,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.10",10,0.528,172.3,689.1,861.3,0.819,129.2,689.1,818.3,0.749,193.8,689.1,882.9,0.488,236.9,710.6,947.5,0.319,258.4,710.6,969,0.255,279.9,732.1,1012.1,0.7322187588552,2.584,3.529,61,7.733,4.47
"451",32536,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.11",11,0.459,107.7,689.1,796.7,0.766,107.7,689.1,796.7,0.873,150.7,689.1,839.8,0.482,193.8,710.6,904.4,0.377,193.8,732.1,925.9,0.261,236.9,732.1,969,0.769001490312966,2.58,3.355,80,10.152,4.331
"452",32616,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.12",12,0.511,236.9,689.1,925.9,0.755,193.8,689.1,882.9,0.714,172.3,710.6,882.9,0.435,236.9,710.6,947.5,0.296,258.4,732.1,990.5,0.25,301.5,732.1,1033.6,0.714920071047957,2.415,3.378,70,8.858,4.371
"453",32686,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.13",13,0.412,193.8,689.1,882.9,0.888,193.8,689.1,882.9,0.702,193.8,710.6,904.4,0.441,215.3,732.1,947.5,0.342,236.9,732.1,969,0.354,258.4,732.1,990.5,0.728166915052161,2.443,3.355,68,8.777,4.261
"454",32754,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.14",14,0.615,215.3,689.1,904.4,0.772,107.7,689.1,796.7,0.639,172.3,710.6,882.9,0.424,215.3,710.6,925.9,0.279,236.9,732.1,969,0.197,258.4,753.7,1012.1,0.731561660197074,2.45,3.349,59,7.806,3.837
"455",32813,"SAFMAT_0E_039","SAFMAT_0E","SAFMAT_0E_039.15",15,0.499,193.8,689.1,882.9,0.726,172.3,689.1,861.3,0.691,172.3,710.6,882.9,0.535,215.3,710.6,925.9,0.366,258.4,732.1,990.5,0.232,258.4,753.7,1012.1,0.709612044006949,2.451,3.454,70,8.713,4.464
"456",32883,"VJRN_01_045","VJRN_01","VJRN_01_045.01",1,0.534,150.7,624.5,775.2,0.604,107.7,646,753.7,0.575,107.7,646,753.7,0.476,107.7,667.5,775.2,0.354,107.7,689.1,796.7,0.261,193.8,689.1,882.9,0.803892765332354,2.189,2.723,71,8.475,3.576
"457",32954,"VJRN_01_045","VJRN_01","VJRN_01_045.02",2,0.493,215.3,624.5,839.8,0.505,193.8,646,839.8,0.488,172.3,646,818.3,0.418,215.3,667.5,882.9,0.308,172.3,689.1,861.3,0.203,215.3,710.6,925.9,0.740279937791602,1.904,2.572,82,9.347,3.297
"458",33036,"VJRN_01_045","VJRN_01","VJRN_01_045.03",3,0.51,236.9,624.5,861.3,0.592,193.8,624.5,818.3,0.574,215.3,624.5,839.8,0.511,215.3,646,861.3,0.366,258.4,689.1,947.5,0.255,279.9,710.6,990.5,0.780235462004995,2.187,2.803,68,7.126,4.058
"459",33102,"VJRN_02_060","VJRN_02","VJRN_02_060.01",1,1.352,193.8,581.4,775.2,1.175,172.3,602.9,775.2,0.705,193.8,624.5,818.3,0.419,215.3,646,861.3,0.209,236.9,667.5,904.4,0.169,279.9,667.5,947.5,0.912065950537097,3.651,4.003,95,10.495,4.249
"460",33197,"VJRN_02_060","VJRN_02","VJRN_02_060.07",7,1.188,107.7,581.4,689.1,0.946,107.7,602.9,710.6,0.708,215.3,624.5,839.8,0.447,301.5,646,947.5,0.267,323,667.5,990.5,0.186,344.5,667.5,1012.1,0.817549092716878,3.289,4.023,73,8.325,4.249
"461",33270,"VJRN_02_060","VJRN_02","VJRN_02_060.20",20,0.969,86.1,581.4,667.5,1.355,107.7,581.4,689.1,0.72,107.7,602.9,710.6,0.447,279.9,624.5,904.4,0.302,366.1,646,1012.1,0.221,430.7,667.5,1098.2,0.878018108651911,3.491,3.976,79,8.719,4.847
"462",33349,"VJRN_02_060","VJRN_02","VJRN_02_060.22",22,1.17,172.3,581.4,753.7,0.923,150.7,602.9,753.7,0.615,236.9,602.9,839.8,0.522,344.5,646,990.5,0.261,344.5,667.5,1012.1,0.18,366.1,667.5,1033.6,0.833763551884357,3.23,3.874,78,8.662,4.127
"463",33427,"VJRN_02_060","VJRN_02","VJRN_02_060.25",25,1.223,150.7,559.9,710.6,1.016,129.2,602.9,732.1,0.84,301.5,624.5,925.9,0.486,279.9,646,925.9,0.49,387.6,646,1033.6,0.29,409.1,667.5,1076.7,0.93766438716465,3.565,3.802,80,8.526,4.377
"464",33507,"VJRN_02_060","VJRN_02","VJRN_02_060.27",27,1.116,86.1,581.4,667.5,0.955,86.1,602.9,689.1,0.633,150.7,602.9,753.7,0.412,215.3,624.5,839.8,0.302,323,646,969,0.215,366.1,646,1012.1,0.798564838544336,3.116,3.902,76,8.194,4.644
"465",33583,"VJRN_03_061","VJRN_03","VJRN_03_061.01",1,1.132,150.7,624.5,775.2,0.888,215.3,646,861.3,0.58,301.5,667.5,969,0.459,323,689.1,1012.1,0.342,366.1,710.6,1076.7,0.25,344.5,732.1,1076.7,0.771695257315843,3.059,3.964,48,5.439,4.754
"466",33631,"VJRN_03_061","VJRN_03","VJRN_03_061.02",2,1.027,129.2,646,775.2,0.911,193.8,646,839.8,0.586,193.8,667.5,861.3,0.493,279.9,667.5,947.5,0.337,323,710.6,1033.6,0.238,323,732.1,1055.1,0.759758247292873,3.017,3.971,53,5.864,4.801
"467",33684,"VJRN_03_061","VJRN_03","VJRN_03_061.03",3,1.033,150.7,624.5,775.2,0.859,172.3,646,818.3,0.563,172.3,646,818.3,0.383,172.3,667.5,839.8,0.354,279.9,689.1,969,0.197,344.5,710.6,1055.1,0.753184713375796,2.838,3.768,56,7.384,4.191
"468",33740,"VJRN_03_061","VJRN_03","VJRN_03_061.04",4,1.23,172.3,624.5,796.7,0.859,215.3,646,861.3,0.61,193.8,667.5,861.3,0.354,172.3,689.1,861.3,0.331,323,710.6,1033.6,0.232,473.7,732.1,1205.9,0.791547835105004,3.053,3.857,52,5.978,4.627
"469",33792,"VJRN_03_061","VJRN_03","VJRN_03_061.05",5,1.084,193.8,646,839.8,0.917,258.4,646,904.4,0.667,279.9,667.5,947.5,0.476,323,689.1,1012.1,0.302,387.6,710.6,1098.2,0.215,366.1,732.1,1098.2,0.772861356932154,3.144,4.068,50,5.758,4.911
"470",33842,"VJRN_04_062","VJRN_04","VJRN_04_062.01",1,0.487,86.1,538.3,624.5,0.962,215.3,538.3,753.7,0.887,193.8,581.4,775.2,0.825,193.8,602.9,796.7,0.505,193.8,624.5,818.3,0.383,236.9,624.5,861.3,0.906509893891597,3.161,3.487,52,4.833,6.055
"471",33894,"VJRN_04_062","VJRN_04","VJRN_04_062.02",2,0.301,107.7,559.9,667.5,0.834,172.3,581.4,753.7,0.97,172.3,581.4,753.7,0.749,172.3,602.9,775.2,0.738,279.9,624.5,904.4,0.337,323,646,969,0.851178049507903,2.854,3.353,61,5.645,5.544
"472",33955,"VJRN_04_062","VJRN_04","VJRN_04_062.03",3,0.27,107.7,581.4,689.1,0.598,172.3,581.4,753.7,0.842,172.3,602.9,775.2,0.812,172.3,602.9,775.2,0.698,258.4,624.5,882.9,0.399,258.4,646,904.4,0.747259259259259,2.522,3.375,54,5.125,5.602
"473",34009,"VJRN_04_062","VJRN_04","VJRN_04_062.04",4,0.475,150.7,559.9,710.6,0.841,236.9,581.4,818.3,1.048,215.3,602.9,818.3,0.816,279.9,602.9,882.9,0.67,344.5,646,990.5,0.435,409.1,667.5,1076.7,0.909350872176151,3.18,3.497,54,5.467,5.056
"474",34063,"VJRN_04_062","VJRN_04","VJRN_04_062.05",5,0.258,129.2,602.9,732.1,0.777,193.8,581.4,775.2,0.836,172.3,581.4,753.7,0.795,172.3,581.4,753.7,0.586,215.3,602.9,818.3,0.464,301.5,624.5,925.9,0.820812807881773,2.666,3.248,59,5.263,6.031
"475",34122,"VJRN_04_062","VJRN_04","VJRN_04_062.06",6,0.294,172.3,581.4,753.7,0.368,150.7,581.4,732.1,0.799,258.4,602.9,861.3,0.991,279.9,602.9,882.9,0.74,258.4,624.5,882.9,0.539,279.9,646,925.9,0.815973377703827,2.452,3.005,58,5.68,6.101
"476",34180,"VJRN_04_062","VJRN_04","VJRN_04_062.07",7,0.336,150.7,559.9,710.6,0.795,150.7,581.4,732.1,0.906,150.7,581.4,732.1,0.737,215.3,581.4,796.7,0.522,215.3,624.5,839.8,0.389,193.8,667.5,861.3,0.784724186704385,2.774,3.535,65,5.655,6.235
"477",34245,"VJRN_04_062","VJRN_04","VJRN_04_062.08",8,0.273,86.1,581.4,667.5,0.827,150.7,581.4,732.1,0.935,150.7,602.9,753.7,0.769,172.3,602.9,775.2,0.54,236.9,624.5,861.3,0.424,279.9,646,925.9,0.803899082568807,2.804,3.488,54,5.82,5.909
"478",34299,"VJRN_04_062","VJRN_04","VJRN_04_062.09",9,0.232,129.2,581.4,710.6,0.801,193.8,602.9,796.7,1.139,193.8,602.9,796.7,0.791,215.3,602.9,818.3,0.562,236.9,624.5,861.3,0.383,258.4,646,904.4,0.846329620108541,2.963,3.501,62,5.645,6.351
"479",34361,"VJRN_04_062","VJRN_04","VJRN_04_062.10",10,0.226,86.1,581.4,667.5,0.714,215.3,581.4,796.7,0.964,215.3,581.4,796.7,0.859,215.3,581.4,796.7,0.791,258.4,602.9,861.3,0.424,236.9,667.5,904.4,0.776559865092749,2.763,3.558,70,6.827,5.921
"480",34431,"VJRN_04_062","VJRN_04","VJRN_04_062.11",11,0.244,86.1,581.4,667.5,0.76,107.7,581.4,689.1,0.987,129.2,581.4,710.6,0.813,150.7,581.4,732.1,0.604,172.3,602.9,775.2,0.43,366.1,624.5,990.5,0.786535764375877,2.804,3.565,61,5.951,5.973
"490",35203,"VJRS_01_061","VJRS_01","VJRS_01_061.01",1,0.969,129.2,602.9,732.1,0.749,150.7,602.9,753.7,0.528,172.3,624.5,796.7,0.401,193.8,646,839.8,0.215,215.3,646,861.3,0.128,236.9,667.5,904.4,0.736505286588759,2.647,3.594,76,9.196,3.971
"491",35279,"VJRS_01_061","VJRS_01","VJRS_01_061.02",2,0.993,193.8,602.9,796.7,0.865,193.8,624.5,818.3,0.604,236.9,624.5,861.3,0.383,279.9,646,925.9,0.261,236.9,667.5,904.4,0.18,323,667.5,990.5,0.730423620025674,2.845,3.895,67,8.463,4.331
"492",35346,"VJRS_01_061","VJRS_01","VJRS_01_061.03",3,1.227,129.2,602.9,732.1,0.877,215.3,602.9,818.3,0.575,258.4,624.5,882.9,0.377,258.4,646,904.4,0.255,301.5,646,947.5,0.174,301.5,667.5,969,0.787223080886141,3.056,3.882,70,8.993,4.139
"493",35416,"VJRS_01_061","VJRS_01","VJRS_01_061.04",4,1.016,150.7,602.9,753.7,0.877,129.2,602.9,732.1,0.615,172.3,624.5,796.7,0.424,150.7,646,796.7,0.25,150.7,667.5,818.3,0.25,236.9,667.5,904.4,0.777100450569838,2.932,3.773,57,6.848,4.661
"494",35473,"VJRS_01_061","VJRS_01","VJRS_01_061.05",5,0.9,129.2,602.9,732.1,0.865,129.2,602.9,732.1,0.639,129.2,624.5,753.7,0.441,129.2,646,775.2,0.308,107.7,667.5,775.2,0.209,150.7,667.5,818.3,0.759679572763685,2.845,3.745,64,7.545,4.656
"495",35537,"VJRS_01_061","VJRS_01","VJRS_01_061.06",6,0.894,129.2,602.9,732.1,0.789,172.3,602.9,775.2,0.551,172.3,624.5,796.7,0.395,150.7,646,796.7,0.255,150.7,667.5,818.3,0.174,172.3,667.5,839.8,0.735384615384615,2.629,3.575,62,7.835,3.959
"496",35599,"VJRS_01_061","VJRS_01","VJRS_01_061.07",7,0.911,172.3,602.9,775.2,0.749,215.3,602.9,818.3,0.54,236.9,624.5,861.3,0.36,236.9,646,882.9,0.261,258.4,667.5,925.9,0.186,279.9,667.5,947.5,0.750073249340756,2.56,3.413,68,8.385,3.75
"497",35667,"VJRS_01_061","VJRS_01","VJRS_01_061.08",8,0.975,107.7,602.9,710.6,0.813,129.2,602.9,732.1,0.546,150.7,624.5,775.2,0.372,129.2,646,775.2,0.244,172.3,667.5,839.8,0.174,258.4,667.5,925.9,0.756711409395973,2.706,3.576,68,8.475,3.982
"498",35735,"VJRS_01_061","VJRS_01","VJRS_01_061.09",9,0.929,150.7,602.9,753.7,0.743,172.3,602.9,775.2,0.511,172.3,624.5,796.7,0.325,150.7,646,796.7,0.226,172.3,667.5,839.8,0.163,172.3,689.1,861.3,0.756561085972851,2.508,3.315,68,8.29,3.756
"499",35803,"VJRS_01_061","VJRS_01","VJRS_01_061.10",10,0.935,129.2,602.9,732.1,0.778,172.3,602.9,775.2,0.54,150.7,624.5,775.2,0.354,129.2,646,775.2,0.255,150.7,667.5,818.3,0.18,258.4,667.5,925.9,0.754777070063694,2.607,3.454,68,8.513,3.825
"500",35871,"VJRS_01_061","VJRS_01","VJRS_01_061.11",11,0.862,236.9,602.9,839.8,0.772,236.9,602.9,839.8,0.61,258.4,602.9,861.3,0.395,215.3,646,861.3,0.25,215.3,667.5,882.9,0.186,301.5,667.5,969,0.726797025612779,2.639,3.631,65,8.147,3.93
"501",35936,"VJRS_01_061","VJRS_01","VJRS_01_061.12",12,0.917,215.3,602.9,818.3,0.801,236.9,602.9,839.8,0.574,236.9,624.5,861.3,0.377,236.9,646,882.9,0.268,215.3,667.5,882.9,0.197,323,667.5,990.5,0.771387283236994,2.669,3.46,65,8.091,3.825
"502",36001,"VJRS_01_061","VJRS_01","VJRS_01_061.13",13,0.964,193.8,602.9,796.7,0.882,193.8,602.9,796.7,0.61,215.3,624.5,839.8,0.406,236.9,646,882.9,0.261,215.3,667.5,882.9,0.192,279.9,667.5,947.5,0.770390309555855,2.862,3.715,61,7.619,4.116
"503",36062,"VJRS_01_061","VJRS_01","VJRS_01_061.14",14,0.865,236.9,602.9,839.8,0.801,258.4,602.9,861.3,0.58,215.3,624.5,839.8,0.372,236.9,646,882.9,0.273,236.9,667.5,904.4,0.168,279.9,667.5,947.5,0.749284487693188,2.618,3.494,69,8.585,3.924
"504",36131,"VJRS_01_061","VJRS_01","VJRS_01_061.15",15,0.958,150.7,602.9,753.7,0.755,193.8,602.9,796.7,0.534,172.3,624.5,796.7,0.377,150.7,646,796.7,0.244,172.3,667.5,839.8,0.186,323,667.5,990.5,0.754456584243818,2.624,3.478,59,7.291,3.918
"505",36190,"VJRS_01_061","VJRS_01","VJRS_01_061.16",16,0.853,129.2,602.9,732.1,0.853,150.7,602.9,753.7,0.656,150.7,624.5,775.2,0.43,150.7,646,796.7,0.267,193.8,646,839.8,0.197,236.9,667.5,904.4,0.755002704164413,2.792,3.698,74,9.323,4.023
"511",36549,"VJRS_03_062","VJRS_03","VJRS_03_062.02",2,0.685,279.9,602.9,882.9,0.731,215.3,624.5,839.8,0.557,215.3,646,861.3,0.395,258.4,646,904.4,0.308,258.4,667.5,925.9,0.267,258.4,689.1,947.5,0.804347826086957,2.368,2.944,68,7.35,4.081
"512",36617,"VJRS_03_062","VJRS_03","VJRS_03_062.03",3,0.708,172.3,646,818.3,0.726,193.8,624.5,818.3,0.517,215.3,646,861.3,0.406,236.9,646,882.9,0.296,279.9,667.5,947.5,0.221,366.1,667.5,1033.6,0.780980781974818,2.357,3.018,63,6.576,3.704
"513",36675,"VJRS_03_062","VJRS_03","VJRS_03_062.04",4,0.795,193.8,624.5,818.3,0.633,193.8,624.5,818.3,0.593,258.4,646,904.4,0.308,236.9,646,882.9,0.244,236.9,667.5,904.4,0.192,344.5,667.5,1012.1,0.810368823938761,2.329,2.874,59,6.356,3.942
"514",36734,"VJRS_03_062","VJRS_03","VJRS_03_062.05",5,0.72,150.7,624.5,775.2,0.72,150.7,624.5,775.2,0.505,150.7,646,796.7,0.395,150.7,646,796.7,0.325,193.8,646,839.8,0.238,258.4,667.5,925.9,0.804676753782668,2.34,2.908,78,9.073,4.075
"515",36812,"VJRS_03_062","VJRS_03","VJRS_03_062.07",7,0.789,150.7,624.5,775.2,0.644,172.3,624.5,796.7,0.441,172.3,646,818.3,0.36,150.7,646,796.7,0.29,215.3,646,861.3,0.25,279.9,667.5,947.5,0.786896794646002,2.234,2.839,75,8.409,3.576
"516",36887,"VJRS_03_062","VJRS_03","VJRS_03_062.08",8,0.691,215.3,624.5,839.8,0.65,215.3,624.5,839.8,0.493,258.4,624.5,882.9,0.418,236.9,646,882.9,0.279,258.4,646,904.4,0.226,258.4,667.5,925.9,0.794917049064596,2.252,2.833,77,8.661,3.518
"517",36964,"VJRS_05_062","VJRS_05","VJRS_05_062.02",2,0.583,150.7,710.6,861.3,0.83,236.9,689.1,925.9,0.642,301.5,689.1,990.5,0.598,344.5,689.1,1033.6,0.296,430.7,710.6,1141.3,0.081,409.1,818.3,1227.4,0.778690930437335,2.653,3.407,58,6.402,4.168
