"","X","grp.recording","female.id","great.call","recording","Delta.Time..s..1","BW.90...Hz..1","Freq.5...Hz..1","Freq.95...Hz..1","Delta.Time..s..2","BW.90...Hz..2","Freq.5...Hz..2","Freq.95...Hz..2","Delta.Time..s..3","BW.90...Hz..3","Freq.5...Hz..3","Freq.95...Hz..3","Delta.Time..s..4","BW.90...Hz..4","Freq.5...Hz..4","Freq.95...Hz..4","Delta.Time..s..5","BW.90...Hz..5","Freq.5...Hz..5","Freq.95...Hz..5","Delta.Time..s..6","BW.90...Hz..6","Freq.5...Hz..6","Freq.95...Hz..6","duty.cycle","note.dur.comb","rest.dur.comb","num.notes","intro.dur","trill.dur"
"344",24272,"SAFL_01_034","SAFL_01","SAFL_01_034.07",7,0.711,258.4,602.9,861.3,0.812,236.9,602.9,839.8,0.931,258.4,624.5,882.9,0.621,236.9,646,882.9,0.447,215.3,667.5,882.9,0.424,215.3,667.5,882.9,0.832881906825569,3.075,3.692,68,8.263,6.327
"345",24340,"SAFL_01_034","SAFL_01","SAFL_01_034.09",9,0.739,215.3,602.9,818.3,0.953,215.3,602.9,818.3,1.089,258.4,602.9,861.3,0.575,258.4,624.5,882.9,0.586,366.1,646,1012.1,0.488,323,667.5,990.5,0.894456289978678,3.356,3.752,81,10.061,6.682
"346",24421,"SAFL_01_034","SAFL_01","SAFL_01_034.10",10,0.598,193.8,602.9,796.7,0.749,215.3,602.9,818.3,0.714,215.3,602.9,818.3,0.551,193.8,624.5,818.3,0.534,172.3,646,818.3,0.476,172.3,646,818.3,0.727982162764771,2.612,3.588,77,8.998,7.326
"347",24498,"SAFL_01_034","SAFL_01","SAFL_01_034.11",11,0.575,215.3,602.9,818.3,0.778,193.8,624.5,818.3,0.888,236.9,624.5,861.3,0.699,215.3,646,861.3,0.389,215.3,667.5,882.9,0.337,236.9,667.5,904.4,0.801745295882192,2.94,3.667,75,9.089,6.902
"348",24573,"SAFL_01_034","SAFL_01","SAFL_01_034.12",12,0.592,172.3,602.9,775.2,0.848,258.4,602.9,861.3,0.83,258.4,624.5,882.9,0.644,301.5,624.5,925.9,0.551,279.9,646,925.9,0.459,258.4,667.5,925.9,0.790558871405317,2.914,3.686,78,9.482,6.966
"349",24651,"SAFL_01_034","SAFL_01","SAFL_01_034.13",13,0.569,172.3,602.9,775.2,0.766,236.9,602.9,839.8,0.826,193.8,602.9,796.7,0.668,279.9,624.5,904.4,0.515,323,646,969,0.401,323,689.1,1012.1,0.786051681022506,2.829,3.599,72,8.707,7.268
"350",24723,"SAFL_01_034","SAFL_01","SAFL_01_034.14",14,0.557,172.3,624.5,796.7,0.836,193.8,602.9,796.7,1.111,258.4,602.9,861.3,0.72,301.5,624.5,925.9,0.604,301.5,646,947.5,0.47,323,646,969,0.851783355350066,3.224,3.785,80,9.079,7.622
"351",24803,"SAFL_01_034","SAFL_01","SAFL_01_034.15",15,0.845,172.3,602.9,775.2,0.975,236.9,602.9,839.8,0.708,258.4,624.5,882.9,0.58,279.9,624.5,904.4,0.493,215.3,646,861.3,0.406,279.9,646,925.9,0.795698924731183,3.108,3.906,82,10.567,7.703
"352",24885,"SAFL_02_030","SAFL_02","SAFL_02_030.01",1,0.743,172.3,559.9,732.1,0.818,129.2,581.4,710.6,0.784,129.2,602.9,732.1,0.534,129.2,602.9,732.1,0.465,150.7,602.9,753.7,0.336,215.3,602.9,818.3,0.759630606860158,2.879,3.79,78,10.232,7.703
"353",24963,"SAFL_02_030","SAFL_02","SAFL_02_030.02",2,0.914,150.7,559.9,710.6,0.708,129.2,581.4,710.6,0.748,107.7,602.9,710.6,0.592,150.7,581.4,732.1,0.401,150.7,602.9,753.7,0.313,215.3,602.9,818.3,0.757932446264074,2.962,3.908,85,12.66,6.438
