female.id,delta_80,delta_79,delta_69,delta_68,delta_67,delta_57,delta_58,delta_46,delta_35,delta_56,delta_45,delta_24,delta_47,delta_14,delta_34,delta_23,delta_36,delta_3,delta_1,delta_70,delta_13,delta_81,delta_78,delta_25,delta_12,delta_59,delta_2,delta_17,delta_18,delta_28,delta_75,delta_64,delta_50,delta_39,delta_7,delta_73,mfcc_28,mfcc_54,mfcc_30,delta_51,delta_40,delta_62,delta_29,delta_31,mfcc_33
SAFA_04,-966.4375666,-1288.915232,-927.9168961,-1268.363687,-1440.432663,-1309.193561,-956.8628415,-1320.137825,-1369.889348,-1513.650586,-1527.728376,-1361.880782,-964.3744362,-971.8913348,-1566.995553,-1537.645162,-1005.546461,-901.0665186,-1207.54873,-508.1990153,-1197.639499,-508.0302509,-1411.61343,-971.6908947,-1397.693925,-509.4545365,-1126.772369,168.4640186,234.635827,305.5784522,66.27938276,47.9793674,205.1635331,202.953825,109.5418675,107.1399941,-7.202288066,1.984367401,10.53884826,110.0918958,118.7509934,103.7622154,244.0887292,84.22193279,4.727155317
SAFA_04,-930.156268,-1264.143456,-945.8906865,-1261.294719,-1463.785313,-1269.650066,-966.3450441,-1291.020207,-1333.542753,-1485.587227,-1493.219245,-1216.518989,-964.6130718,-913.2646833,-1511.140975,-1392.749469,-987.5715984,-856.4589306,-1099.989652,-530.5919472,-1109.951252,-509.7857794,-1427.274895,-959.1003196,-1239.923352,-532.5449986,-1037.536705,69.76546226,204.3087398,237.0457055,39.79716921,84.89612988,161.5164728,179.1239238,77.3670289,80.38478256,-1.407939642,2.093098572,17.32773448,115.1966602,150.1578548,117.6790783,294.9562444,158.4423159,9.653074072
SAFA_04,-957.5290757,-1258.713916,-952.7640609,-1247.972153,-1434.316114,-1280.538421,-963.7757631,-1319.483214,-1385.766206,-1479.94437,-1517.464343,-1282.410465,-1006.062792,-930.4998749,-1560.984511,-1434.287914,-1035.546631,-828.0516735,-1103.257397,-528.8779555,-1104.551454,-559.1971843,-1410.013802,-982.8155173,-1271.548359,-522.3590814,-1019.4588,72.0091516,184.9054752,250.4762683,91.57443523,87.30181968,149.4084219,174.090592,67.30970951,61.23097707,-9.487391538,-1.844362255,22.06249828,74.59742884,99.71398076,59.52162309,262.1339239,187.2739488,11.9170217
SAFA_04,-895.3056845,-1186.806879,-928.9147037,-1242.939358,-1400.283264,-1272.882972,-952.8004441,-1286.001989,-1342.239097,-1478.377725,-1498.583515,-1325.158198,-979.4775977,-957.0920409,-1542.520656,-1511.617868,-1017.487962,-894.5895302,-1186.458009,-528.127276,-1132.682812,-494.0846722,-1308.154918,-964.1126309,-1311.19227,-536.1089825,-1090.401487,169.8626112,225.6693183,303.6715955,84.1555881,27.95462167,154.6115757,164.3163435,147.6664866,55.88991409,-5.388874069,-4.451615513,10.25966196,48.72803776,68.7328869,50.84263703,222.3618786,66.77738054,0.99567553
SAFA_04,-873.7008609,-1163.805008,-915.7767302,-1210.913203,-1354.361951,-1223.659498,-904.749127,-1251.07138,-1306.830862,-1452.076369,-1479.834959,-1284.975821,-934.4255061,-923.9724565,-1511.709791,-1474.208207,-975.440784,-863.0244789,-1163.050049,-517.2488588,-1111.002683,-478.07333,-1282.771441,-935.9727267,-1322.701093,-485.4251909,-1074.028499,166.8009426,247.8345319,284.0552213,47.55394518,71.73029208,175.5408642,156.8566121,130.1246422,47.2091459,-2.276215087,1.158290471,10.87524197,86.34222034,73.07035189,92.83430072,229.7176101,83.51597368,3.726462485
SAFA_04,-814.4041096,-1093.210917,-820.9541702,-1086.57047,-1255.935181,-1124.936489,-843.5410195,-1146.637255,-1173.528119,-1306.367539,-1327.894496,-1112.353946,-870.7124919,-806.6008555,-1343.93804,-1273.850972,-879.9392779,-733.0902357,-897.2155216,-473.1305744,-966.2083951,-452.6813232,-1210.867313,-816.9319735,-1095.960132,-467.0511561,-858.5147322,77.93732934,202.5136728,284.0662215,56.34889709,71.34603835,153.5309418,152.540761,65.46716202,62.01597998,-3.744550004,-1.022175088,12.40275591,75.64868905,73.47591661,97.14998471,237.2779534,92.0088793,4.017719355
SAFA_05,-1031.966981,-1318.216142,-974.0591797,-1272.120561,-1477.263517,-1298.306068,-991.5310766,-1367.577226,-1256.201345,-1482.095499,-1545.131353,-1195.932883,-1004.870227,-937.3498693,-1428.666101,-1387.706705,-908.9570798,-931.2474532,-1335.172427,-555.6108345,-1187.556614,-594.9538978,-1543.578358,-895.9856572,-1333.729155,-578.9089449,-1182.283785,180.0113661,205.9418862,252.1492577,-18.06646661,-14.90314328,169.8396969,240.0875149,233.9013609,-16.76779553,3.21440044,4.834307297,14.63994019,122.7840304,218.0222875,-12.33620397,230.2773534,23.6931915,3.47633694
SAFA_05,-987.1467565,-1266.381691,-981.4279176,-1248.887457,-1471.815132,-1264.228122,-972.0124911,-1338.106717,-1264.885521,-1472.099284,-1534.431758,-1186.317016,-1009.393633,-905.9092831,-1435.44466,-1359.579094,-895.963181,-895.6210398,-1283.31391,-535.5620157,-1170.886747,-541.5738278,-1491.778407,-895.6359756,-1331.776442,-529.3010554,-1146.148925,191.4308634,255.2153501,238.8266135,56.56763531,40.2560429,134.8689047,259.8398127,219.1323746,21.35989905,0.135632895,1.185224144,16.35905691,59.66712807,184.3056945,38.53822948,220.1938651,33.38476988,4.766876773
SAFA_05,-967.4884474,-1236.383188,-956.9199956,-1238.239767,-1434.376652,-1251.212351,-954.7859415,-1332.392119,-1225.210848,-1405.074936,-1505.185927,-1198.8085,-986.8655248,-902.1144594,-1393.694643,-1365.948073,-893.236049,-900.4282055,-1298.937895,-548.377839,-1172.36365,-526.5521257,-1461.181255,-907.3261769,-1354.774103,-570.3700672,-1156.850015,243.7976955,246.8383838,220.8579255,30.39708666,25.93271399,200.6591559,234.3928594,233.9150745,18.59864541,-1.595726567,10.34246821,15.0703789,130.7072506,171.4425381,18.49161904,199.8116172,57.45348616,6.612266211
SAFA_05,-1002.411152,-1256.716135,-992.5497859,-1266.177327,-1467.798641,-1277.977856,-985.2591908,-1355.573411,-1265.169373,-1444.527196,-1534.045165,-1208.749106,-1019.92073,-892.5092878,-1411.691837,-1371.515109,-948.4748888,-933.0345386,-1292.799407,-555.3854857,-1164.828961,-532.901502,-1481.421509,-925.5136935,-1310.067075,-574.6182256,-1175.542733,179.5212728,213.6952161,257.4803863,42.6570581,7.591245552,177.5555665,248.3810432,218.5228134,13.22297888,-2.776632564,5.258508833,16.7463562,101.2948972,244.2311547,15.57930041,249.6340868,79.87292341,5.545681318
SAFA_05,-989.5606415,-1265.552863,-984.6464815,-1274.219304,-1486.549039,-1289.524024,-988.328022,-1336.931883,-1292.773069,-1457.221783,-1492.811179,-1205.297167,-1008.391131,-881.2043032,-1452.125697,-1367.91284,-942.8891187,-911.0519537,-1354.403485,-535.4213091,-1171.52634,-536.5967741,-1488.088756,-913.2636594,-1346.504874,-563.6677061,-1200.431299,222.0953733,251.6923191,235.7518424,36.82056494,22.62870025,114.7226817,266.6666133,250.2784649,44.63885597,-2.361724983,0.52556481,15.74597141,66.18480479,254.5565057,44.57406113,255.4889667,116.4525135,9.500257623
SAFA_05,-947.6155482,-1260.794054,-933.8081033,-1222.984911,-1457.989505,-1209.687138,-915.9524821,-1310.581568,-1211.120321,-1424.930615,-1509.650252,-1217.671128,-954.8364464,-858.8875296,-1379.876918,-1386.313702,-899.2874701,-932.8818531,-1356.307244,-496.8801059,-1142.694517,-528.8419463,-1463.910582,-897.1832168,-1307.188669,-506.7418312,-1224.726828,183.9085746,220.9027518,203.5461728,22.38019369,19.67128474,174.1515002,229.1916563,228.330624,43.71172101,-1.645633106,3.827810806,7.37352905,128.3079619,219.5140401,46.54856823,225.1446641,109.8575645,9.733993218
SAFA_05,-929.8342855,-1213.763101,-947.1399117,-1224.494035,-1409.31403,-1237.389765,-959.0923472,-1285.896792,-1307.770048,-1394.915614,-1432.584172,-1213.000731,-988.6470159,-911.0742773,-1450.159354,-1361.84426,-957.674993,-925.026569,-1307.623694,-548.0642674,-1193.231182,-516.9708818,-1415.270312,-911.0111687,-1348.262538,-572.367417,-1167.795409,220.0642674,249.0473498,222.9368231,13.23253579,0.128205731,92.9128177,249.9457077,242.0057045,18.15234823,-5.168700208,6.132002996,15.28262407,38.59512616,220.4947804,7.200399127,218.6919033,80.80553967,7.277983598
SAFA_05,-986.9835337,-1296.108316,-974.4805337,-1275.130448,-1471.185955,-1284.504886,-979.6165113,-1351.693229,-1326.425753,-1456.023409,-1531.657259,-1239.594855,-1018.491748,-985.3057518,-1488.862127,-1400.169826,-957.6930254,-939.978734,-1369.724658,-569.1014156,-1240.095107,-562.1355047,-1513.230555,-953.0668872,-1411.589169,-580.972205,-1203.404137,202.8115732,244.8353122,265.5698718,21.6151078,15.96389678,156.2871506,283.3352373,260.338493,22.02184186,-4.810561342,5.071181496,19.61530438,81.88215121,229.3171912,29.76448275,271.9841809,120.2109399,10.33426461
SAFA_05,-923.9518012,-1207.741471,-993.062983,-1250.258921,-1459.888105,-1274.772429,-989.6260207,-1341.906413,-1296.97813,-1456.314189,-1512.078546,-1181.839276,-1022.328098,-891.2541618,-1455.96577,-1334.153926,-942.0404307,-910.1085745,-1293.852885,-549.2464855,-1151.35033,-517.2715003,-1406.272003,-906.7058884,-1314.307867,-570.746821,-1158.907953,192.084124,258.9107898,239.390851,43.06283168,32.84613323,126.3059732,261.5544251,225.3546723,15.42384462,-3.774563432,1.697726435,14.39926196,56.43264548,204.4668143,19.8704832,227.7548995,82.60477005,6.108062059
SAFA_05,-976.8241304,-1264.452065,-991.4642107,-1266.119178,-1487.212517,-1273.733088,-981.0766979,-1334.785671,-1289.899503,-1467.896807,-1506.669967,-1198.916998,-1001.242713,-904.8121351,-1449.151641,-1366.907035,-926.2357303,-942.3851389,-1291.375626,-536.2230931,-1168.948138,-533.4920443,-1482.049106,-918.7140237,-1322.690537,-566.1991547,-1164.717519,238.1412694,274.7552495,269.3579552,56.07493024,22.69640157,166.795654,285.8793721,272.3477852,48.86850729,-1.695840017,9.025331513,17.90992944,68.2512709,216.6457912,37.44888305,237.5833114,35.61171637,3.509666112
SAFA_05,-955.1973276,-1257.634941,-942.1847061,-1243.473888,-1438.240532,-1277.538857,-960.7220713,-1343.021792,-1246.917973,-1453.151421,-1519.277002,-1184.99962,-961.9997446,-876.6796394,-1413.351734,-1363.00209,-910.1366153,-903.673966,-1319.096228,-549.4963448,-1166.494891,-528.247433,-1474.980667,-911.5566072,-1354.125125,-563.8878473,-1167.423764,250.7574502,283.3869907,246.2360021,29.62456582,38.77895104,229.2011989,265.60151,256.8760053,62.82126318,1.30942019,12.35051877,6.859636087,172.0711302,258.738125,68.03020082,275.9036299,131.4860595,10.15486884
SAFA_05,-895.6372535,-1184.654144,-910.1609207,-1209.784689,-1393.398826,-1233.444418,-929.6776637,-1265.334275,-1260.853066,-1391.019634,-1405.898647,-1158.869817,-936.2527535,-851.4126799,-1399.149518,-1304.506564,-898.1477925,-864.2916686,-1286.347623,-494.6454065,-1134.7346,-492.3317322,-1390.84768,-874.2309874,-1296.234142,-521.199333,-1135.176092,209.038272,227.9352814,216.0114365,57.73648795,59.84305997,126.3063361,238.4517047,235.9700271,44.81052061,-3.977901521,3.853056588,13.48589916,79.67779738,198.2848649,46.72029579,214.0393737,88.89629616,7.210710993
SAFA_06,-1021.505327,-1327.897653,-1008.631555,-1336.443133,-1493.066108,-1303.166108,-976.6745429,-1308.994903,-1283.648522,-1462.333683,-1462.726451,-1310.859796,-967.752734,-963.6672685,-1441.573325,-1471.39132,-936.4459687,-1018.12137,-1482.336598,-517.0646912,-1282.169274,-515.5929288,-1475.66616,-949.4087251,-1479.042224,-499.8689657,-1318.630882,181.3669037,213.0708823,163.3917598,11.59627457,8.856111751,139.9402328,131.9316598,186.4962024,66.93244845,-3.102082723,2.608839883,14.07431946,83.91580728,69.92561305,75.81551693,113.8887596,-22.18581143,2.567355841
SAFA_06,-1022.227896,-1342.609023,-967.667926,-1312.096303,-1480.277763,-1306.587642,-967.9867792,-1309.70255,-1303.011773,-1462.778361,-1466.697282,-1340.872924,-970.0542034,-977.0898146,-1459.649725,-1495.132325,-956.0914406,-1022.558104,-1487.156339,-504.1750664,-1283.554514,-528.349392,-1493.268797,-999.7157856,-1468.243123,-498.0961797,-1321.060848,170.9111768,201.6474098,184.2036574,17.83377308,19.65802312,129.4121476,142.8332098,187.6377344,55.30571704,-5.632920905,0.297156525,17.25812042,66.59599255,55.00250272,60.47985452,126.8780307,-23.17860978,0.887142222
SAFA_06,-1036.236402,-1313.274353,-990.585072,-1327.726532,-1499.864493,-1328.740019,-963.6953617,-1288.508852,-1243.592175,-1519.248497,-1458.549717,-1316.748641,-959.9704223,-976.041253,-1408.556745,-1474.874147,-933.4777867,-1036.501731,-1506.847746,-514.0370455,-1286.147192,-561.6640984,-1467.564348,-951.4167637,-1497.028444,-499.1167451,-1323.725051,190.9896229,240.5602018,169.2173092,37.72737389,26.43790374,111.3015075,106.0958291,178.8622436,65.18187488,-4.337067649,1.828870392,14.84147677,56.17269,38.17987909,59.55140047,116.637609,-20.57344661,4.194690862
