"","X","mean.1","sd.1","mean.2","sd.2","mean.3","sd.3","mean.4","sd.4","mean.5","sd.5","mean.6","sd.6","mean.7","sd.7","mean.8","sd.8","mean.9","sd.9","mean.10","sd.10","mean.11","sd.11","mean.12","sd.12","female.id.test","recording","loc"
"1","SAFB100_01_047.01",67.6735471798229,6.98340154558633,-3.13544275578625,4.51197728148837,-13.7035865945585,9.32364821446481,-2.49950012079301,10.729784258221,-5.39957257117509,7.94373005629533,1.30996996343509,6.9565419969966,5.11073325417835,6.179794953449,1.55498842028588,8.74877457494278,5.42754463277069,6.91743634048153,-1.59809464254603,7.6370262647993,-1.43726355774197,7.11608979154786,-2.35704184446551,6.80279674757263,"SAFB100_01","SAFB100_01_047","SAFB100"
"2","SAFB100_01_047.02",69.3848393116044,6.55299281635435,-1.86873218671027,5.28217602195766,-14.6190704317247,9.91761237430382,-3.4174063241698,12.2606222992311,-7.09920542527411,9.22409955300834,-2.15213409519238,7.30181202520403,5.58238946992065,7.56882828944082,4.02865200988187,9.92637046154121,6.79033876781908,7.78210036685991,0.537632071194521,8.34572256999003,-1.83578387280459,7.96580358715378,-3.79370535612124,7.33078853498045,"SAFB100_01","SAFB100_01_047","SAFB100"
"3","SAFB100_01_047.03",70.3545650390483,7.55049438837635,-3.59511200470156,5.27995918921523,-15.501003582172,9.12447059409419,-2.71016769570749,12.4333569264549,-7.42980098422864,9.31609261126634,1.22377826542957,7.29482608523647,3.69122793651582,7.42842887328731,3.86173298662533,9.86549054147257,4.60915727173996,7.11983392600134,-0.93410892543477,7.6235221910898,-1.24402406760171,8.02534795813295,-3.57022115040616,6.77340077123835,"SAFB100_01","SAFB100_01_047","SAFB100"
"4","SAFB100_01_047.04",70.411101099764,7.18804597055749,-1.73297193386286,5.02358504567831,-16.8223218909973,9.99737438292484,-3.57198483954088,12.2905664704122,-5.49267333120393,9.6537709774156,-2.05716837176609,7.28477806919951,5.42396749682391,7.00298517776306,3.50292356838316,10.4810012231796,5.74194517126287,7.52507433273285,-0.0302665544201148,7.92871485174756,-3.21867973094575,8.06663180558798,-2.06319919553065,7.55251324266917,"SAFB100_01","SAFB100_01_047","SAFB100"
"5","SAFB100_01_047.05",74.3163778945815,8.21198770064229,-3.98110954503475,5.58096410840406,-14.9488862358457,9.25493993716329,-3.00150959556196,11.292061294173,-6.10981586029935,8.87702440755997,0.365142629432038,7.47000676453627,5.47444220012533,6.36280685008679,1.73370676971617,10.1102576075662,5.35878924766425,6.86677693311346,-2.38136034640794,7.99642332176952,-0.704479412276566,7.97639039017498,-3.22760177658054,6.83550060368647,"SAFB100_01","SAFB100_01_047","SAFB100"
"6","SAFB100_01_047.06",74.8997465800685,7.31569864501101,-3.41943527061656,4.64600415292901,-14.8530699914656,10.9483612216974,-4.73394851497008,12.6583008941644,-3.87715326751478,8.67822527889233,-2.57383908306459,7.09034099551914,6.52429083282056,7.09085425614966,1.0639557353612,10.5741024816653,6.39758277644829,7.27822153708977,-0.441929480898523,8.27681284448797,-3.28738768341307,7.26861668322791,-2.71843074100581,7.25229761797135,"SAFB100_01","SAFB100_01_047","SAFB100"
"7","SAFB100_01_047.07",75.2121470416991,7.75500784884745,-4.34720081362886,4.78021909676641,-14.3723383372022,9.60834287498069,-3.12015008683231,11.651932142153,-3.73767403304335,8.77467504243301,-1.41855616018412,7.48029555230309,5.38005702193177,6.50822218551656,0.776293374540965,9.95835820354132,6.30919834797322,7.22692075591379,-2.46844398709701,7.82741016406393,-2.21053532820349,7.30029374260971,-2.24722840906482,6.95176961863613,"SAFB100_01","SAFB100_01_047","SAFB100"
"8","SAFB100_01_047.08",73.3141695214191,6.52946830070437,-2.59390827277831,4.00615495056029,-14.4863598893892,9.30855546537938,-4.58013231104172,10.3026942034182,-3.18106277660154,8.45247795626007,-4.84945169648287,6.74504563763492,7.72583521465879,6.59263920047631,2.05034366590979,9.06190793643,5.6825654559561,7.41077492957141,-0.722624110478414,7.44815122462868,-2.34716012428456,6.4024543795703,-1.12666585687654,7.5126398135865,"SAFB100_01","SAFB100_01_047","SAFB100"
"9","SAFB100_01_047.09",74.5003562564101,7.12004688025116,-3.03199486235225,5.31086259055766,-13.179587569411,9.4787297017111,-5.73993198323555,12.3231160248154,-5.71845772146948,9.09288089960267,-2.60298148413275,7.18450097852806,8.14897403854406,6.77567830496467,3.17501067646432,10.232394416911,6.50955883354208,7.83708122716601,-0.601533843013009,7.8168419099523,-3.07979481973724,7.66533127778111,-2.79412725223592,7.79008553533991,"SAFB100_01","SAFB100_01_047","SAFB100"
"10","SAFB100_01_047.10",74.9158485343984,7.40729912427376,-3.08712813869232,4.8738971314212,-14.716693579319,9.8933222746414,-4.30906137624583,12.2137971552718,-4.70320728975498,9.10928125964023,-3.47274528581852,7.21314324866007,6.66499955797271,7.3215581199217,1.81633546351345,9.62564607282662,5.56969885685654,7.50669176685168,0.0326811058101156,8.13414141631505,-3.23801590015414,7.15563072450606,-1.65030857090829,7.03614605629615,"SAFB100_01","SAFB100_01_047","SAFB100"
